SPD,ANG,TRQ,ANOMALY
30.5,64,2441,0
30.5,65,2478,0
30.5,64,2473,0
30.5,64,2461,0
30.5,64,2404,0
30.5,64,2420,0
30.5,64,2455,0
30.5,62,2477,0
30.5,63,2442,0
30.5,54,2443,0
31.5,48,2441,0
31.5,27,2442,0
31.5,25,2443,0
31.5,19,2442,0
31.5,17,2442,0
31.5,18,2442,0
32,20,2441,0
32,21,2442,0
32,22,2442,0
32.5,21,2442,0
32.5,17,2442,0
32.5,15,2442,0
32.5,2,2442,0
32.5,-4,2441,0
32.5,-9,2442,0
32.5,-13,2442,0
32.5,-19,2442,0
32.5,-33,2442,0
32.5,-50,2442,0
32.5,-65,2472,0
32.5,-69,2413,0
32.5,-69,2384,0
32.5,-60,2413,0
32.5,-64,2452,0
32.5,-64,2416,0
33,-64,2421,0
33,-67,2460,0
33,-68,2410,0
33,-69,2381,0
33,-64,2408,0
33,-69,2380,0
33,-63,2417,0
33,-61,2422,0
33,-66,2446,0
33,-74,2375,0
33,-66,2420,0
33,-64,2438,0
33,-67,2397,0
33,-71,2378,0
33,-70,2375,0
33,-64,2410,0
33,-65,2406,0
33,-65,2375,0
33,-66,2373,0
33,-66,2378,0
33,-65,2397,0
33,-63,2392,0
33,-63,2399,0
33,-64,2407,0
33,-67,2424,0
33,-70,2412,0
33,-68,2422,0
33,-62,2433,0
33,-65,2410,0
33,-68,2397,0
33.5,-67,2393,0
33.5,-64,2387,0
33.5,-63,2412,0
33.5,-61,2441,0
33.5,-63,2397,0
33.5,-64,2406,0
33.5,-65,2411,0
33.5,-64,2431,0
33.5,-64,2455,0
33.5,-64,2460,0
33.5,-64,2467,0
33.5,-65,2455,0
33.5,-64,2450,0
33.5,-65,2424,0
33.5,-65,2419,0
33.5,-64,2408,0
33.5,-64,2405,0
33.5,-64,2396,0
33.5,-64,2437,0
33.5,-64,2459,0
33.5,-65,2470,0
33.5,-66,2469,0
33.5,-66,2461,0
33.5,-68,2413,0
33.5,-69,2433,0
33.5,-67,2374,0
33.5,-65,2380,0
33.5,-65,2374,0
33.5,-66,2384,0
33.5,-66,2390,0
33.5,-66,2383,0
33.5,-66,2396,0
33.5,-66,2401,0
33.5,-66,2411,0
33.5,-66,2412,0
33.5,-67,2411,0
33.5,-66,2405,0
33.5,-66,2388,0
33.5,-66,2386,0
33.5,-66,2375,0
33.5,-62,2434,0
33.5,-63,2436,0
33.5,-59,2443,0
33.5,-59,2441,0
33.5,-52,2441,0
33.5,-49,2443,0
33.5,-48,2442,0
33.5,-46,2442,0
33.5,-31,2441,0
34,-26,2442,0
34,-21,2442,0
34,-18,2442,0
34,-11,2442,0
34,-5,2442,0
34,10,2442,0
34,14,2442,0
34,18,2442,0
34,21,2442,0
34,23,2442,0
34,24,2442,0
34,25,2443,0
34,25,2442,0
34,26,2442,0
34,27,2441,0
34,38,2441,0
34,41,2442,0
34,23,2441,0
34,33,2442,0
34,30,2442,0
34,17,2442,0
34,11,2442,0
34,-3,2442,0
34,-8,2442,0
34,-14,2442,0
34,-17,2442,0
34,-20,2442,0
34,-24,2441,0
34,-29,2442,0
34,-31,2442,0
34,-32,2442,0
34,-34,2442,0
34,-38,2442,0
34,-37,2442,0
34,-36,2442,0
34,-36,2441,0
34,-33,2441,0
34,-24,2442,0
34,-22,2442,0
34,-16,2441,0
34,-14,2441,0
34,-13,2443,0
34,-12,2442,0
34,-10,2441,0
34,-7,2442,0
34,-7,2441,0
34,-6,2442,0
34,-9,2442,0
35,-8,2442,0
35,-7,2442,0
35,-4,2442,0
35,-2,2442,0
35,1,2442,0
35,6,2442,0
35,10,2442,0
35,13,2442,0
35,17,2442,0
35,20,2442,0
35,24,2442,0
35,26,2442,0
35,29,2442,0
35,29,2443,0
35,33,2442,0
35,40,2442,0
35,46,2442,0
35,48,2442,0
35,50,2442,0
35,49,2442,0
35,47,2442,0
35,44,2443,0
35,39,2442,0
35,36,2442,0
35,33,2441,0
35,32,2442,0
35,31,2442,0
35,27,2442,0
35,23,2442,0
35,20,2443,0
35,16,2442,0
35,10,2441,0
35,4,2442,0
35,-3,2442,0
35,-9,2442,0
35,-15,2442,0
35,-19,2442,0
35,-23,2442,0
35,-26,2442,0
35,-27,2442,0
35,-29,2442,0
35,-35,2442,0
35,-41,2442,0
35,-47,2442,0
35,-50,2442,0
35,-49,2442,0
35,-46,2442,0
35,-45,2441,0
35,-43,2442,0
35,-42,2442,0
35,-44,2442,0
35,-48,2442,0
35,-53,2441,0
35,-56,2442,0
35,-58,2442,0
35,-59,2442,0
35,-60,2442,0
36,-63,2441,0
36,-64,2428,0
36,-64,2457,0
36,-63,2452,0
36,-63,2437,0
36,-63,2412,0
36,-64,2414,0
36,-63,2405,0
36,-65,2415,0
36,-68,2432,0
36,-69,2415,0
36,-67,2389,0
36,-62,2409,0
36,-59,2442,0
36,-65,2434,0
36,-69,2383,0
36,-66,2382,0
36,-63,2387,0
36,-63,2442,0
36,-69,2399,0
36,-70,2399,0
36,-63,2432,0
36,-61,2442,0
36,-65,2410,0
36,-66,2400,0
36,-69,2379,0
36,-67,2374,0
36,-65,2439,0
36,-67,2430,0
36,-67,2441,0
36,-69,2402,0
36,-69,2407,0
36,-62,2443,0
36,-64,2434,0
36,-64,2407,0
36,-65,2438,0
36,-68,2446,0
36,-69,2400,0
36,-69,2386,0
36,-65,2401,0
36,-65,2420,0
36,-68,2416,0
36,-70,2377,0
36,-69,2382,0
36,-68,2372,0
36,-68,2391,0
36,-69,2387,0
36,-68,2415,0
36,-68,2403,0
36,-67,2386,0
36,-70,2384,0
36,-70,2394,0
36,-72,2386,0
36,-72,2385,0
36,-72,2399,0
36,-72,2388,0
36,-72,2387,0
36,-72,2380,0
36,-73,2374,0
36,-74,2388,0
36,-73,2389,0
36,-71,2393,0
36,-70,2409,0
36,-69,2412,0
36,-69,2405,0
36,-67,2400,0
36,-63,2416,0
36,-60,2442,0
36,-56,2442,0
36,-51,2441,0
36,-46,2442,0
36,-41,2442,0
36,-36,2442,0
36.5,-31,2442,0
36.5,-29,2442,0
36.5,-26,2442,0
36.5,-23,2442,0
36.5,-21,2442,0
36.5,-18,2442,0
36.5,-14,2442,0
36.5,-12,2442,0
36.5,-9,2442,0
36.5,0,2442,0
36.5,7,2442,0
36.5,14,2442,0
36.5,19,2442,0
36.5,22,2442,0
36.5,24,2442,0
36.5,25,2442,0
